Gene	Nanog	Oct4	Sox2	STAT3	c-Myc	Klf4	Expression Level
Gene1	0.51	0.00	0.00	0.00	0.00	0.26	13.29
Gene2	0.00	0.00	0.14	0.39	0.38	0.97	20.85
Gene3	0.00	0.00	0.11	0.00	0.00	0.00	0.88
Gene4	0.00	0.00	0.14	0.00	0.73	0.63	23.72
Gene5	0.00	0.00	0.00	0.00	0.98	0.00	18.97
Gene6	0.00	0.00	0.00	0.39	0.98	0.00	22.32
Gene7	0.00	0.34	0.00	0.00	0.50	0.00	13.52
Gene8	0.00	0.00	0.00	0.25	0.00	0.00	0.84
Gene9	0.81	0.00	0.37	0.51	0.38	0.21	33.34
Gene10	0.81	0.96	0.43	0.35	0.00	0.25	37.01
Gene11	0.22	0.20	0.12	0.23	0.12	0.97	21.98
Gene12	0.26	0.00	0.37	0.39	0.00	0.00	12.87
Gene13	0.51	0.65	0.54	0.92	0.00	0.63	36.45
Gene14	0.00	0.15	0.00	0.00	0.12	0.93	14.16
Gene15	0.00	0.23	0.17	0.00	0.00	0.97	14.25
Gene16	0.02	0.34	0.23	0.73	0.12	0.26	15.21
Gene17	0.03	0.00	0.00	0.45	0.98	0.00	22.39
Gene18	0.03	0.34	0.23	0.39	0.00	0.26	11.59
Gene19	0.81	0.23	0.00	0.92	0.98	0.00	42.15
Gene20	0.10	0.15	0.11	0.23	0.07	0.97	17.24
Gene21	0.26	0.00	0.37	0.73	0.07	0.93	25.03
Gene22	0.26	0.96	0.83	0.54	0.07	0.97	41.19
Gene23	0.81	0.65	0.83	0.73	0.00	0.97	47.97
Gene24	0.81	0.39	0.12	0.92	0.98	0.01	46.70
Gene25	0.00	0.00	0.00	0.00	0.38	0.00	7.60
Gene26	0.02	0.15	0.17	0.51	0.00	0.00	6.89
Gene27	0.22	0.41	0.12	0.35	0.00	0.01	11.32
Gene28	0.00	0.00	0.00	0.00	0.12	0.97	12.05
Gene29	0.00	0.15	0.11	0.35	0.29	0.97	21.15
Gene30	0.10	0.00	0.11	0.00	0.07	0.00	4.57
Gene31	0.10	0.96	0.23	0.92	0.00	0.97	28.89
Gene32	0.20	0.15	0.00	0.00	0.07	0.14	7.94
Gene33	0.00	0.22	0.23	0.31	0.29	0.00	12.11
Gene34	0.00	0.96	0.14	0.00	0.98	0.00	31.82
Gene35	0.00	0.15	0.00	0.00	0.29	0.25	9.64
Gene36	0.02	0.23	0.17	0.31	0.98	0.97	36.70
Gene37	0.44	0.89	0.37	0.25	0.98	0.14	45.10
Gene38	0.00	0.00	0.00	0.39	0.38	0.21	12.52
Gene39	0.00	0.00	0.00	0.39	0.38	0.26	12.28
Gene40	0.10	0.00	0.28	0.35	0.00	0.01	8.87
Gene41	0.00	0.00	0.11	0.45	0.12	0.00	6.72
Gene42	0.38	0.22	0.14	0.00	0.00	0.00	11.31
Gene43	0.00	0.00	0.00	0.00	0.00	0.00	0.57
Gene44	0.02	0.23	0.11	0.31	0.48	0.46	19.81
Gene45	0.00	0.00	0.11	0.00	0.00	0.97	11.12
Gene46	0.00	0.00	0.00	0.00	0.00	0.00	0.69
Gene47	0.22	0.00	0.17	0.31	0.29	0.00	13.95
Gene48	0.00	0.37	0.23	0.00	0.52	0.00	18.24
Gene49	0.10	0.33	0.23	0.45	0.12	0.00	14.18
Gene50	0.00	0.00	0.00	0.00	0.52	0.00	9.64
Gene51	0.00	0.34	0.23	0.00	0.12	0.00	9.61
Gene52	0.20	0.00	0.32	0.00	0.00	0.97	18.41
Gene53	0.10	0.15	0.14	0.00	0.38	0.00	14.01
Gene54	0.03	0.33	0.23	0.39	0.00	0.97	18.45
Gene55	0.00	0.15	0.00	0.25	0.98	0.01	22.58
Gene56	0.00	0.15	0.83	0.39	0.00	0.00	15.70
Gene57	0.13	0.34	0.23	0.31	0.00	0.14	13.25
Gene58	0.00	0.00	0.11	0.23	0.00	0.00	3.16
Gene59	0.00	0.15	0.11	0.00	0.00	0.97	12.60
Gene60	0.00	0.00	0.00	0.00	0.07	0.00	0.68
Gene61	0.00	0.00	0.00	0.00	0.00	0.97	9.91
Gene62	0.00	0.00	0.23	0.00	0.98	0.97	33.05
Gene63	0.10	0.00	0.00	0.00	0.00	0.00	1.93
Gene64	0.02	0.34	0.23	0.23	0.00	0.00	9.15
Gene65	0.00	0.15	0.11	0.00	0.38	0.01	10.05
Gene66	0.00	0.15	0.11	0.00	0.98	0.93	31.93
Gene67	0.38	0.39	0.11	0.39	0.29	0.93	29.88
Gene68	0.13	0.15	0.23	0.39	0.00	0.97	20.14
Gene69	0.00	0.00	0.00	0.00	0.00	0.00	0.70
Gene70	0.28	0.00	0.00	0.00	0.00	0.00	5.06
Gene71	0.00	0.34	0.14	0.25	0.98	0.00	25.74
Gene72	0.44	0.89	0.17	0.31	0.32	0.93	38.21
Gene73	0.44	0.89	0.17	0.00	0.38	0.00	27.49
Gene74	0.38	0.43	0.43	0.00	0.98	0.21	40.14
Gene75	0.20	0.65	0.54	0.39	0.38	0.14	29.67
Gene76	0.38	0.39	0.43	0.54	0.46	0.25	33.09
Gene77	0.26	0.43	0.37	0.51	0.29	0.00	22.64
Gene78	0.81	0.96	0.83	0.92	0.98	0.97	71.31
Gene79	0.26	0.43	0.37	0.00	0.38	0.00	21.99
Gene80	0.26	0.37	0.32	0.35	0.98	0.01	34.10
Gene81	0.26	0.37	0.11	0.00	0.00	0.00	10.50
Gene82	0.00	0.00	0.00	0.00	0.00	0.00	0.01
Gene84	0.20	0.00	0.17	0.31	0.00	0.14	10.07
Gene85	0.02	0.15	0.11	0.00	0.00	0.97	12.60
Gene86	0.81	0.00	0.83	0.00	0.00	0.00	29.02
Gene87	0.00	0.15	0.00	0.00	0.00	0.00	2.18
Gene88	0.00	0.00	0.00	0.35	0.00	0.00	1.51
Gene89	0.00	0.00	0.37	0.00	0.00	0.97	14.54
